phylum,classe,ordine,famiglia,specie_lat,specie_it,L. 157/92 art. 2,L. 157/92,79/409 CEE Ap.1,79/409 CEE Ap.2/I,79/409 CEE Ap.2/II,79/409 CEE Ap.3/I,79/409 CEE Ap.3/II,BERNA Ap.2,BERNA Ap.3,CITES All. A,CITES All. B,CITES All. D,BONN Ap.1,BONN Ap.2,HABITAT Ap.2,HABITAT Ap.4,HABITAT Ap.5,BARCELLONA all. 2,ENDEMICA,CHECKLIST,IUCN,Valori
Chordata,AVES,ANSERIFORMES,Anatidae,"Cygnus olor (Gmelin, 1789)",Cigno reale,x,,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Histrionicus histrionicus (Linnaeus, 1758)",Moretta arlecchino,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Marmaronetta  angustirostris (Ménétriés, 1832)",Anatra marmorizzata,,x,x,,,,,x,,,,,x,,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Melanitta fusca (Linnaeus, 1758)",Orco marino,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Melanitta nigra (Linnaeus, 1758)",Orchetto marino,,x,,,x,,x,,x,,,,,x,,,,,,,None,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Mergus albellus Linnaeus, 1758",Pesciaiola,,x,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Mergus merganser Linnaeus, 1758",Smergo maggiore,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Mergus serrator Linnaeus, 1758",Smergo minore,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Netta rufina (Pallas, 1773)",Fistione turco,x,,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Oxyura jamaicensis (Gmelin, 1789)",Gobbo della Giamaica,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Oxyura leucocephala (Scopoli, 1769)",Gobbo rugginoso,x,,x,,,,,x,,x,,,x,,,,,,,,Vulnerabile,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Somateria mollissima (Linnaeus, 1758)",Edredone,,x,,,x,,x,,x,,,,,x,,,,,,,None,5
Chordata,AVES,ANSERIFORMES,Anatidae,"Somateria spectabilis (Linnaeus, 1758)",Re degli edredoni,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,ANSERIFORMES,Anatidae,"Tadorna ferruginea (Pallas, 1764)",Casarca,,x,x,,,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,ANSERIFORMES,Anatidae,"Tadorna tadorna (Linnaeus, 1758)",Volpoca,x,,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,APODIFORMES,Apodidae,"Apus affinis (Gray G.E., 1830)",Rondone indiano,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,APODIFORMES,Apodidae,"Apus apus (Linnaeus, 1758)",Rondone,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,APODIFORMES,Apodidae,"Apus melba (Linnaeus, 1758)",Rondone maggiore,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,APODIFORMES,Apodidae,"Apus pallidus (Shelley, 1870)",Rondone pallido,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CAPRIMULGIFORMES,Caprimulgidae,"Caprimulgus aegyptius Lichtenstein, 1823",Succiacapre isabellino,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CAPRIMULGIFORMES,Caprimulgidae,"Caprimulgus europaeus Linnaeus, 1758",Succiacapre,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CAPRIMULGIFORMES,Caprimulgidae,"Caprimulgus ruficollis Temminck, 1820",Succiacapre collorosso,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Alcidae,"Alca torda Linnaeus, 1758",Gazza marina,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Alcidae,"Alle alle (Linnaeus, 1758)",Gazza marina minore,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Alcidae,"Fratercula arctica (Linnaeus, 1758)",Pulcinella di mare,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Burhinidae,"Burhinus oedicnemus (Linnaeus, 1758)",Occhione,,x,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Charadrius alexandrinus Linnaeus, 1758",Fratino,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Charadrius asiaticus Pallas, 1773",Corriere asiatico,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Charadrius dubius Scopoli, 1786",Corriere piccolo,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Charadrius hiaticula Linnaeus, 1758",Corriere grosso,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Chettusia gregaria (Pallas, 1771)",Pavoncella gregaria,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Chettusia leucura (Lichtenstein, 1823)",Pavoncella codabianca,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Eudromias morinellus Linnaeus, 1758",Piviere tortolino,x,,x,,,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Hoplopterus spinosus (Linnaeus, 1758)",Pavoncella armata,,x,,,,,,,,,,,,x,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Pluvialis apricaria (Linnaeus, 1758)",Piviere dorato,,x,x,,x,,x,,x,,,,,x,,,,,,,None,6
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Pluvialis dominica (Muller P.L.S., 1776)",Piviere orientale,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Pluvialis squatarola (Linnaeus, 1758)",Pivieressa,,x,x,,x,,,,x,,,,,x,,,,,,,None,5
Chordata,AVES,CHARADRIIFORMES,Charadriidae,"Vanellus vanellus (Linnaeus, 1758)",Pavoncella,,,,,x,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Glareolidae,"Cursorius cursor (Latham, 1787)",Corrione biondo,,x,x,,,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Glareolidae,"Glareola nordmanni Nordmann, 1842",Pernice di mare orientale,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Glareolidae,"Glareola pratincola (Linnaeus, 1766)",Pernice di mare,x,,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Hamatopodidae,"Haematopus ostralegus  Linnaeus, 1758",Beccaccia di mare,,x,,,x,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus argentatus Pontoppidan, 1763",Gabbiano reale nordico,,x,,,x,,,,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus audouinii Payraudeau, 1826",Gabbiano corso,x,,x,,,,,x,,,,,x,x,,,,,,,"A minor rischio, Dipendenti dalla protezione",5
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus cachinnans Pallas, 1811",Gabbiano reale,,x,,,x,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus canus Linnaeus, 1758",Gavina,,x,,,x,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus fuscus Linnaeus, 1758",Zafferano,,x,,,x,,,,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus genei Breme, 1839",Gabbiano roseo,x,x,x,,,,,x,,,,,,x,,,,,,,None,5
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus glaucoides Meyer, 1822",Gabbiano d'Islanda,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus hyperboreus Gunnerus, 1767",Gabbiano glauco,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus ichthyaetus Pallas, 1773",Gabbiano del Pallas,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus marinus Linnaeus, 1758",Mugnaiaccio,,x,,,x,,,,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus melanocephalus Temminck, 1820",Gabbiano corallino,x,x,x,,,,,x,,,,,,x,,,,,,,None,5
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus minutus Pallas, 1776",Gabbianello,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus ridibundus Linnaeus, 1766",Gabbiano comune,,x,,,x,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Laridae,"Larus sabini Sabine, 1818",Gabbiano di Sabine,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Pagophila eburnea (Phipps, 1774)",Gabbiano eburneo,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Rhodostethia rosea (MacGillivray, 1824)",Gabbiano di Ross,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Laridae,"Rissa tridactyla (Linnaeus, 1758)",Gabbiano tridattilo,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Recurvirostridae,"Himantopus himantopus (Linnaeus, 1758)",Cavaliere d'Italia,x,,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Recurvirostridae,"Recurvirostra avosetta  Linnaeus, 1758",Avocetta,x,,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Actitis hypoleucos (Linnaeus, 1758)",Piro piro piccolo,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Actitis macularia (Linnaeus, 1766)",Piro piro macchiettato,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Arenaria interpres (Linnaeus, 1758)",Voltapietre,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Bartramia longicauda (Bechstein, 1812)",Piro piro codalunga,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris alba (Pallas, 1756)",Piovanello tridattilo,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris alpina (Linnaeus, 1758)",Piovanello pancianera,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris canutus (Linnaeus, 1758)",Piovanello maggiore,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris ferruginea (Pontoppidan, 1763)",Piovanello,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris maritima (Brünnich, 1764) ",Piovanello violetto,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris melanotos (Vieillot, 1819)",Piro piro pettorale,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris minuta (Leisler, 1812)",Gambecchio,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Calidris temminckii (Leisler, 1812)",Gambecchio nano,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Gallinago gallinago (Linnaeus, 1758)",Beccaccino,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Gallinago media (Latham, 1787)",Croccolone,,x,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Limicola falcinellus (Pontoppidan, 1763)",Gambecchio frullino,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Limnodromus scolopaceus (Say, 1823)",Piro piro pettorossiccio,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Limosa lapponica (Linnaeus, 1758)",Pittima minore,,x,x,,x,,,,x,,,,,x,,,,,,,None,5
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Limosa limosa (Linnaeus, 1758)",Pittima reale,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Lymnocryptes minimus (Brünnich, 1764) ",Frullino,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Numenius arquata (Linnaeus, 1758)",Chiurlo,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Numenius phaeopus (Linnaeus, 1758)",Chiurlo piccolo,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Numenius tenuirostris Vieillot, 1817",Chiurlottello,,x,x,,,,,x,,x,,,x,,,,,,,,Gravemente minacciato,5
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Phalaropus fulicarius (Linnaeus, 1758)",Falaropo becco largo,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Phalaropus lobatus (Linnaeus, 1758)",Falaropo becco sottile,,x,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Phalaropus tricolor (Veilott, 1819)",Falaropo di Wilson,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Philomachus pugnax (Linnaeus, 1758)",Combattente,,,x,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Scolopax rusticola Linnaeus, 1758",Beccaccia,,,,x,,,x,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tringa erythropus (Pallas, 1746)",Totano moro,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tringa flavipes (Gmelin, 1789)",Totano zampegialle minore,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tringa glareola Linnaeus, 1758",Piro piro boschereccio,,x,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tringa nebularia (Gunnerus, 1767)",Pantana,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tringa ochropus Linnaeus, 1758",Piro piro culbianco,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tringa stagnatilis (Bechstein, 1803)",Albastrello,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tringa totanus (Linnaeus, 1758)",Pettegola,,x,,,x,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Tryngites subruficollis (Vieillot, 1819)",Piro piro fulvo,,x,,,,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Scolopacidae,"Xenus cinereus  (Güldenstädt, 1774)",Piro piro di Terek,,x,x,,,,,,x,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Stercorariidae,"Stercorarius longicaudus Veilott, 1819",Labbo codalunga,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Stercorariidae,"Stercorarius parasiticus (Linnaeus, 1758)",Labbo,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Stercorariidae,"Stercorarius pomarinus (Temminck, 1815)  ",Stercorario mezzano,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Stercorariidae,"Stercorarius skua (Brünnich, 1764) ",Stercorario maggiore,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Chlidonias hybridus (Pallas, 1811)",Mignattino piombato,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Chlidonias leucopterus (Temminck, 1815)",Mignattino alibianche,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Chlidonias niger (Linnaeus, 1758)",Mignattino,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Gelochelidon nilotica (Gmelin, 1789)",Sterna zampenere,x,,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna albifrons Pallas, 1764",Fraticello,,x,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna bengalensis Lesson, 1831",Sterna del Ruppel,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna caspia Pallas, 1770",Sterna  maggiore,x,,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna dougallii Montagu, 1813",Sterna del Dougall,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna fuscata Linnaeus, 1766",Sterna scura,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna hirundo Linnaeus, 1758",Sterna comune,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna paradisaea Pontoppidan, 1763",Sterna codalunga,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CHARADRIIFORMES,Sternidae,"Sterna sandvicensis Latham, 1878",Beccapesci,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ardeidae,"Ardea cinerea Linnaeus, 1758",Airone cenerino,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CICONIIFORMES,Ardeidae,"Ardea purpurea Linnaeus, 1766",Airone rosso,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ardeidae,"Ardeola ralloides (Scopoli, 1769)",Sgarza ciuffetto,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ardeidae,"Botaurus stellaris (Linnaeus, 1758)",Tarabuso,x,,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ardeidae,"Bubulcus ibis  (Linnaeus, 1758)",Airone guardabuoi,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CICONIIFORMES,Ardeidae,"Egretta  alba (Linnaeus, 1758)",Airone bianco maggiore,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ardeidae,"Egretta garzetta (Linnaeus, 1766)",Garzetta,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ardeidae,"Egretta gularis (Bosc, 1792)",Airone schistaceo,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CICONIIFORMES,Ardeidae,"Ixobrychus eurhythmus (Swinhoe, 1873)",Tarabusino orientale,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CICONIIFORMES,Ardeidae,"Ixobrychus minutus (Linnaeus, 1766)",Tarabusino,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ardeidae,"Nycticorax nycticorax (Linnaeus, 1758)",Nitticora,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CICONIIFORMES,Ciconiidae,"Ciconia ciconia (Linnaeus, 1758)",Cicogna bianca,x,,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CICONIIFORMES,Ciconiidae,"Ciconia nigra (Linnaeus, 1758)",Cicogna nera,x,,x,,,,,x,,x,,,,x,,,,,,,None,5
Chordata,AVES,CICONIIFORMES,Threskiornithidae,"Platalea leucorodia Linnaeus, 1758",Spatola,x,,x,,,,,x,,x,,,,x,,,,,,,None,5
Chordata,AVES,CICONIIFORMES,Threskiornithidae,"Plegadis falcinellus (Linnaeus, 1766)",Mignattaio,x,,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,COLUMBIFORMES,Columbidae,"Columba livia Gmelin, 1789",Piccione selvatico,,x,,x,,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,COLUMBIFORMES,Columbidae,"Columba oenas Linnaeus, 1758",Colombella,,x,,,x,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,COLUMBIFORMES,Columbidae,"Columba palumbus Linnaeus, 1758",Colombaccio,,,,x,,x,,,,,,,,,,,,,,,None,2
Chordata,AVES,COLUMBIFORMES,Columbidae,"Sterptopelia turtur (Linnaeus, 1758)",Tortora,,,,,x,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,COLUMBIFORMES,Columbidae,"Streptopelia decaocto (Frivaldszky, 1838)",Tortora dal collare orientale,,x,,,x,,,,x,,,,,,,,,,,,None,3
Chordata,AVES,COLUMBIFORMES,Columbidae,"Streptopelia orientalis (Latham, 1790)",Tortora orientale,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,COLUMBIFORMES,Columbidae,"Streptopelia senegalensis Linnaeus, 1766",Tortora delle palme,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CORACIIFORMES,Alcedinidae,"Alcedo atthis (Linnaeus, 1758)",Martin pescatore,,x,x,,,,,x,,,,,,,,,,,,,None,3
Chordata,AVES,CORACIIFORMES,Coraciidae,"Coracias garrulus Linnaeus, 1758",Ghiandaia marina,x,,x,,,,,x,,,,,,x,,,,,,,None,4
Chordata,AVES,CORACIIFORMES,Meropidae,"Merops apiaster Linnaeus, 1758",Gruccione,,x,,,,,,x,,,,,,x,,,,,,,None,3
Chordata,AVES,CORACIIFORMES,Meropidae,"Merops superciliosus Linnaeus, 1766",Gruccione  egiziano,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CORACIIFORMES,Upupidae,"Upupa epops Linnaeus, 1758",Upupa,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CUCULIFORMES,Cuculidae,"Clamator glandarius (Linnaeus, 1758)",Cuculo dal ciuffo,,x,,,,,,x,,,,,,,,,,,,,None,2
Chordata,AVES,CUCULIFORMES,Cuculidae,"Coccyzus americanus (Linnaeus, 1758)",Cuculo americano,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CUCULIFORMES,Cuculidae,"Coccyzus erythrophthalmus (Wilson, 1811)",Cuculo americano occhirossi,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,CUCULIFORMES,Cuculidae,"Cuculus canorus Linnaeus, 1758",Cuculo,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco biarmicus Temminck, 1825",Lanario,x,,x,,,,,x,,x,,,,x,,,,,,,None,5
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco cherrug Gray, 1834",Sacro,x,,,,,,,x,,x,,,,x,,,,,,,None,4
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco columbarius  Linnaeus, 1758",Smeriglio,x,,x,,,,,x,,x,,,,x,,,,,,,None,5
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco eleonorae Géné, 1834",Falco della regina,x,,x,,,,,x,,x,,,,x,,,,,,,None,5
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco naumanni Fleischer, 1818",Grillaio,x,,x,,,,,x,,x,,,x,,,,,,,,Vulnerabile,5
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco pelegrinoides Temminck, 1829  ",Falcone di Barberia,x,,,,,,,x,,x,,,,x,,,,,,,None,4
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco peregrinus Tunstall, 1771",Pellegrino,x,,x,,,,,x,,x,x,,,x,,,,,,,None,6
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco subbuteo  Linnaeus, 1758",Lodolaio,x,,,,,,,x,,x,,,,x,,,,,,,None,4
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco tinnunculus  Linnaeus, 1758",Gheppio,x,,,,,,,x,,x,,,,x,,,,,,,None,4
Chordata,AVES,FALCONIFORMES,Falconidae,"Falco vespertinus  Linnaeus, 1766",Falco cuculo,x,,,,,,,x,,x,,,,x,,,,,,,None,4
Chordata,AVES,GALLIFORMES,Phasianidae,"Alectoris barbara (Bonnaterre, 1790)",Pernice sarda,,,x,,x,x,,,x,,,,,,,,,,,,None,4
Chordata,AVES,GALLIFORMES,Phasianidae,"Alectoris graeca (Meisner, 1804)",Coturnice,,,,x,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,GALLIFORMES,Phasianidae,Alectoris graeca saxatilis,Coturnice ss. delle Alpi,,,x,,,,,,,,,,,,,,,,,,None,1
Chordata,AVES,GALLIFORMES,Phasianidae,Alectoris graeca whitaken,Coturnice ss. di Sicilia,,,x,,,,,,,,,,,,,,,,,,None,1
Chordata,AVES,GALLIFORMES,Phasianidae,"Alectoris rufa (Linnaeus, 1758)",Pernice rossa,,,,x,,x,,,x,,,,,,,,,,,,None,3
Chordata,AVES,GALLIFORMES,Phasianidae,"Colinus virginianus (Linnaeus, 1758)",Colino della Virginia,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,GALLIFORMES,Phasianidae,"Coturnix coturnix (Linnaeus, 1758)",Quaglia,,,,,x,,,,x,,,,,x,,,,,,,None,3
Chordata,AVES,GALLIFORMES,Phasianidae,"Francolinus francolinus (Linnaeus, 1766)",Francolino,,x,,,,,,,x,,,,,,,,,,,,None,2
Chordata,AVES,GALLIFORMES,Phasianidae,"Perdix perdix (Linnaeus, 1758)",Starna,,,,x,,x,,,x,,,,,,,,,,,,None,3
