Province,Superficie territoriale,Superficie aziendale agro-forestale,Cacciatori,Densità venatoria per 1000 ha,Agenti ventaori,Guardie volontarie,Vigilanza venatoria: numero agenti e/o guardie per 1000 ha,Anno,Tavola
Puglia,1935790,1342302.44,32.012,24,134.0,231.0,0.3,2006,Tavola 4
Basilicata,999461,775076.11,7.833,10,45.0,570.0,0.8,2006,Tavola 4
Calabria,1508055,805106.52,38.891,48,92.0,524.0,0.8,2006,Tavola 4
Sicilia,2571140,1460399.35,49.588,34,177.0,1.777,1.3,2006,Tavola 4
Sardegna,2408989,1636584.33,43.506,27,953.0,75.0,0.6,2006,Tavola 4
Piemonte,2540246,1472655,30.802,21.0,137,1.506,1.1,2007,Tavola 4
Valle-d-Aosta,326324,176314,1.525,9.0,143,3.0,0.8,2007,Tavola 4
Lombardia,2386280,1277032,85.013,67.0,360,936.0,1.0,2007,Tavola 4
Trento,620690,455615,7.06,15.0,361,45.0,0.9,2007,Tavola 4
Trentino-Alto-Adige,1360682,1040351,13.286,13.0,368,118.0,0.5,2007,Tavola 4
Veneto,1839885,1157187,57.319,50.0,212,662.0,0.8,2007,Tavola 4
Friuli-Venezia-Giulia,785839,413036,10.913,26.0,59,93.0,0.4,2007,Tavola 4
Liguria,542155,151069,23.888,158.0,105,552.0,4.3,2007,Tavola 4
Emilia-Romagna,2211734,1386298,51.797,37.0,156,1.492,1.2,2007,Tavola 4
Toscana,2299351,1508889,104.719,69.0,204,1.197,0.9,2007,Tavola 4
Umbria,845604,597769,40.607,68.0,97,660.0,1.3,2007,Tavola 4
Marche,969406,707136,31.416,44.0,91,1.001,1.5,2007,Tavola 4
Lazio,1723597,980053,67.981,69.0,287,1.576,1.9,2007,Tavola 4
Abruzzo,1076271,664620,14.136,21.0,71,789.0,1.3,2007,Tavola 4
Molise,443768,283396,4.176,15.0,20,183.0,0.7,2007,Tavola 4
Campania,1359024,804390,46.382,58.0,124,1.573,2.1,2007,Tavola 4
Puglia,1935790,1339997,29.661,22.0,142,161.0,0.2,2007,Tavola 4
Basilicata,999461,736175,7.973,11.0,43,720.0,1.0,2007,Tavola 4
Calabria,1508055,824780,32.383,39.0,68,1.006,1.3,2007,Tavola 4
Sicilia,2571140,1488782,47.799,32.0,203,987.0,0.8,2007,Tavola 4
Sardegna,2408989,1674827,50.1,30.0,-,152.0,0.1,2007,Tavola 4
