Province,Numero (montagna),Superficie (montagna),Numero (collina),Superficie (collina),Numero (pianura),Superficie (pianura),Numero (totale),Superficie (totale),Anno,Tavola
Puglia,2,2.020,20,29.108,14,23.682,36,54.810,2005,Tavola 3
Basilicata,-,-,1,500,-,-,1,500,2005,Tavola 3
Calabria,-,-,-,-,-,-,-,-,2005,Tavola 3
Sicilia,1,706,4,2.065,1,890,6,3.661,2005,Tavola 3
Sardegna,-,-,36,29.737,21,19.113,57,48.850,2005,Tavola 3
Piemonte,19,49.408,31,44.977,48,42.836,98,137.221,2006,Tavola 1
Valle d'Aosta/Vallée d'Aoste,3,15.593,-,-,-,-,3,15.593,2006,Tavola 1
Lombardia,13,16.006,19,8.223,136,40.682,168,64.911,2006,Tavola 1
Trento,6,6.870,-,-,-,-,6,6.870,2006,Tavola 1
Veneto,7,7.087,21,11.721,149,55.191,177,73.999,2006,Tavola 1
Friuli-Venezia Giulia,5,2.474,2,1.190,35,13.429,42,17.093,2006,Tavola 1
Liguria,4,6.402,2,350,-,-,6,6.752,2006,Tavola 1
Toscana,35,25.823,256,160.122,11,7.167,302,193.112,2006,Tavola 1
Umbria,18,11.876,60,24.114,-,-,78,35.990,2006,Tavola 1
Marche,23,18.986,35,24.252,-,-,58,43.238,2006,Tavola 1
Lazio,29,47.168,68,86.857,9,5.661,106,139.686,2006,Tavola 1
Abruzzo,8,21.674,1,475,-,-,9,22.149,2006,Tavola 1
Molise,2,780,3,5.852,-,-,5,6.632,2006,Tavola 1
Campania,1,341,12,6.699,3,1.414,16,8.454,2006,Tavola 1
Puglia,1,1.152,3,2.826,15,8.045,19,12.023,2006,Tavola 1
Basilicata,1,300,2,883,1,254,4,1.437,2006,Tavola 1
Calabria,1,20,8,89,-,-,9,109,2006,Tavola 1
Sicilia,20,7.462,28,42.818,2,165,50,50.445,2006,Tavola 1
Sardegna,23,28.258,151,152.686,20,24.102,194,205.046,2006,Tavola 1
Piemonte,83,67.111,63,16.623,51,19.195,197,102.929,2006,Tavola 2
Valle d'Aosta/Vallée d'Aoste,12,11.291,-,-,-,-,12,11.291,2006,Tavola 2
Lombardia,84,42.297,38,13.523,82,13.429,204,69.249,2006,Tavola 2
Trento,-,-,-,-,-,-,-,-,2006,Tavola 2
Veneto,31,12.850,14,3.048,87,33.839,132,49.737,2006,Tavola 2
Friuli-Venezia Giulia,2,2.488,-,-,6,933,8,3.421,2006,Tavola 2
Liguria,13,18.669,8,4.944,-,-,21,23.613,2006,Tavola 2
Toscana,43,59.692,79,39.387,6,17.162,128,116.241,2006,Tavola 2
Umbria,4,2.310,14,7.765,-,-,18,10.075,2006,Tavola 2
Marche,10,12.185,16,5.928,-,-,26,18.113,2006,Tavola 2
Lazio,10,27.661,17,14.039,3,2.606,30,44.306,2006,Tavola 2
Abruzzo,3,270,9,1.364,-,-,12,1.634,2006,Tavola 2
Molise,6,4.273,10,6.432,-,-,16,10.705,2006,Tavola 2
Campania,1,1.500,6,4.832,2,2.300,9,8.632,2006,Tavola 2
Puglia,-,-,28,57.380,37,21.559,65,78.939,2006,Tavola 2
Basilicata,11,12.202,5,5.553,5,2.915,21,20.670,2006,Tavola 2
Calabria,1,781,2,913,1,15,4,1.709,2006,Tavola 2
Sicilia,2,1.041,14,13.269,5,5.002,21,19.312,2006,Tavola 2
Sardegna,4,10.326,40,50.522,27,38.616,71,99.464,2006,Tavola 2
Piemonte,31,14.089,137,91.147,110,83.865,278,189.101,2006,Tavola 3
Valle d'Aosta/Vallée d'Aoste,-,-,-,-,-,-,-,-,2006,Tavola 3
Lombardia,33,20.357,20,9.824,232,117.347,285,147.528,2006,Tavola 3
Trento,3,317,-,-,-,-,3,317,2006,Tavola 3
Veneto,3,410,56,15.214,206,109.253,265,124.877,2006,Tavola 3
Friuli-Venezia Giulia,1,1.618,-,-,-,-,1,1.618,2006,Tavola 3
Liguria,48,34.867,16,6.939,-,-,64,41.806,2006,Tavola 3
Toscana,19,11.947,147,119.791,10,7.903,176,139.641,2006,Tavola 3
Umbria,6,5.509,48,38.743,-,-,54,44.252,2006,Tavola 3
Marche,11,6.762,94,70.897,-,-,105,77.659,2006,Tavola 3
Lazio,5,5.448,21,19.937,4,3.248,30,28.633,2006,Tavola 3
Abruzzo,6,5.645,35,34.936,-,-,41,40.581,2006,Tavola 3
Molise,12,14.704,13,15.270,-,-,25,29.974,2006,Tavola 3
Campania,15,16.624,10,11.142,2,1.700,27,29.466,2006,Tavola 3
Puglia,2,2.020,20,29.108,14,23.682,36,54.810,2006,Tavola 3
Basilicata,-,-,1,500,-,-,1,500,2006,Tavola 3
Calabria,-,-,-,-,-,-,-,-,2006,Tavola 3
Sicilia,1,706,5,2.965,1,890,7,4.561,2006,Tavola 3
Sardegna,-,-,36,29.737,21,19.004,57,48.741,2006,Tavola 3
Piemonte,20,52.266,31,44.977,48,42.836,99,140.079,2007,Tavola 1
Valle d'Aosta/Vallée d'Aoste,3,15.593,-,-,-,-,3,15.593,2007,Tavola 1
Lombardia,13,16.006,19,8.223,137,40.994,169,65.223,2007,Tavola 1
Trento,6,6.870,-,-,-,-,6,6.870,2007,Tavola 1
Veneto,7,6.735,19,11.497,145,53.608,171,71.840,2007,Tavola 1
Friuli-Venezia Giulia,5,2.474,2,1.190,35,13.429,42,17.093,2007,Tavola 1
Liguria,4,6.402,2,350,-,-,6,6.752,2007,Tavola 1
Toscana,39,30.176,259,159.013,11,7.361,309,196.550,2007,Tavola 1
Umbria,18,11.876,61,24.179,-,-,79,36.055,2007,Tavola 1
Marche,23,18.629,41,29.679,-,-,64,48.308,2007,Tavola 1
Lazio,28,45.561,71,88.631,8,4.943,107,139.135,2007,Tavola 1
Abruzzo,8,21.674,1,475,-,-,9,22.149,2007,Tavola 1
Molise,3,2.609,3,5.052,-,-,6,7.661,2007,Tavola 1
Campania,2,677,10,5.521,4,1.813,16,8.011,2007,Tavola 1
Puglia,3,2.524,6,3.562,15,8.264,24,14.350,2007,Tavola 1
Basilicata,-,-,2,883,1,254,3,1.137,2007,Tavola 1
Calabria,2,2.504,8,89,1,551,11,3.144,2007,Tavola 1
