id,label,parent,value
"Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno d'acqua di Miller_Neomys anomalus Cabrera, 1907","Neomys anomalus Cabrera, 1907",Chordata_MAMMALIA_INSECTIVORA_Soricidae_Toporagno d'acqua di Miller,2
Chordata_MAMMALIA_LOGOMORPHA,LOGOMORPHA,Chordata_MAMMALIA,5
Chordata_MAMMALIA_LOGOMORPHA_Leporidae,Leporidae,Chordata_MAMMALIA_LOGOMORPHA,5
Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Lepre bianca,Lepre bianca,Chordata_MAMMALIA_LOGOMORPHA_Leporidae,2
"Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Lepre bianca_Lepus timidus Linnaeus, 1758","Lepus timidus Linnaeus, 1758",Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Lepre bianca,2
Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Lepre sarda,Lepre sarda,Chordata_MAMMALIA_LOGOMORPHA_Leporidae,2
Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Lepre sarda_Lepus capensis mediterraneus,Lepus capensis mediterraneus,Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Lepre sarda,2
Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Non precisato,Non precisato,Chordata_MAMMALIA_LOGOMORPHA_Leporidae,1
"Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Non precisato_Lepus capensis (Linnaeus, 1758)","Lepus capensis (Linnaeus, 1758)",Chordata_MAMMALIA_LOGOMORPHA_Leporidae_Non precisato,1
Chordata_MAMMALIA_RODENTIA,RODENTIA,Chordata_MAMMALIA,26
Chordata_MAMMALIA_RODENTIA_Hystricidae,Hystricidae,Chordata_MAMMALIA_RODENTIA,3
Chordata_MAMMALIA_RODENTIA_Hystricidae_Istrice,Istrice,Chordata_MAMMALIA_RODENTIA_Hystricidae,3
"Chordata_MAMMALIA_RODENTIA_Hystricidae_Istrice_Hystrix cristata  (Linnaeus, 1758)  ","Hystrix cristata  (Linnaeus, 1758)  ",Chordata_MAMMALIA_RODENTIA_Hystricidae_Istrice,3
Chordata_MAMMALIA_RODENTIA_Myocastoridae,Myocastoridae,Chordata_MAMMALIA_RODENTIA,1
Chordata_MAMMALIA_RODENTIA_Myocastoridae_Nutria,Nutria,Chordata_MAMMALIA_RODENTIA_Myocastoridae,1
"Chordata_MAMMALIA_RODENTIA_Myocastoridae_Nutria_Myocastor coypus (Molina, 1782)","Myocastor coypus (Molina, 1782)",Chordata_MAMMALIA_RODENTIA_Myocastoridae_Nutria,1
Chordata_MAMMALIA_RODENTIA_Myoxidae,Myoxidae,Chordata_MAMMALIA_RODENTIA,16
Chordata_MAMMALIA_RODENTIA_Myoxidae_Driomio,Driomio,Chordata_MAMMALIA_RODENTIA_Myoxidae,3
